,Sfd_id,geometry
0,104839603,"MULTIPOLYGON (((-50.28868413 -21.21892931,-50.28819061 -21.2182292,-50.28870559 -21.21776913,-50.28814769 -21.21706902,-50.28336263 -21.21992945,-50.28432823 -21.22118962,-50.28868413 -21.21892931)))"
1,104851010,"MULTIPOLYGON (((-51.64726684 -23.30727236,-51.65463853 -23.3108016,-51.655555 -23.31126496,-51.65595622 -23.30832604,-51.6569881 -23.30143435,-51.65684133 -23.30117102,-51.65443974 -23.30034232,-51.64871699 -23.29844769,-51.64747304 -23.29806235,-51.64719985 -23.30249653,-51.64711994 -23.30300731,-51.64723633 -23.30325339,-51.64734559 -23.30354042,-51.64730178 -23.30507789,-51.64726684 -23.30727236)))"
2,104851011,"MULTIPOLYGON (((-51.64079547 -23.29584802,-51.63508299 -23.29398251,-51.63454437 -23.29391172,-51.63369836 -23.29376556,-51.63172215 -23.2935774,-51.63055101 -23.29353406,-51.63350285 -23.29713828,-51.63517818 -23.29910181,-51.63670331 -23.3010259,-51.63747294 -23.30190854,-51.63780828 -23.30193589,-51.63869071 -23.30150547,-51.63925761 -23.30150912,-51.63983647 -23.30154001,-51.64077016 -23.30224753,-51.64141511 -23.30254105,-51.6415484 -23.3021941,-51.64173938 -23.30192675,-51.64149501 -23.30100844,-51.64114997 -23.29725706,-51.64079547 -23.29584802)))"
3,104856056,"MULTIPOLYGON (((-51.2694129 -23.23388657,-51.26956606 -23.23399397,-51.26933002 -23.2342503,-51.26941585 -23.23464958,-51.26929783 -23.23467423,-51.26934075 -23.23502421,-51.2694695 -23.23506364,-51.26949095 -23.23543827,-51.27061748 -23.23529532,-51.27069258 -23.23507843,-51.27053702 -23.23461507,-51.27069258 -23.23371793,-51.2694129 -23.23388657)),((-51.2689405 -23.23394883,-51.25569367 -23.2356946,-51.25614428 -23.23669031,-51.25657344 -23.23717338,-51.26693749 -23.23575375,-51.26694286 -23.2353249,-51.26834833 -23.23508829,-51.2685039 -23.23496506,-51.26838588 -23.23473338,-51.26840198 -23.23432424,-51.26857364 -23.23420101,-51.26886868 -23.23427002,-51.2689405 -23.23394883)),((-51.2694129 -23.23388657,-51.26936221 -23.23385102,-51.26894915 -23.23391018,-51.2689405 -23.23394883,-51.2694129 -23.23388657)))"
4,104856307,"MULTIPOLYGON (((-51.86434054 -22.80493581,-51.86062299 -22.80408525,-51.86049425 -22.80659734,-51.86090664 -22.80669408,-51.86219745 -22.80692495,-51.86305978 -22.80709864,-51.86391138 -22.80722289,-51.86434054 -22.80493581)))"
5,104838039,"MULTIPOLYGON (((-54.15842318 -25.22023698,-54.15965039 -25.21944984,-54.15465489 -25.21751745,-54.15353113 -25.21764615,-54.15286422 -25.21815347,-54.15139828 -25.21824967,-54.15118969 -25.2186279,-54.15185061 -25.21891082,-54.15195459 -25.21916212,-54.15150229 -25.21994267,-54.15278234 -25.22041127,-54.15389764 -25.22025956,-54.15465186 -25.22138156,-54.15633545 -25.22082723,-54.15842318 -25.22023698)))"
6,104856508,"MULTIPOLYGON (((-54.2316334 -20.94611016,-54.23151665 -20.94576973,-54.22622883 -20.94725207,-54.22658704 -20.9477442,-54.22694463 -20.94885261,-54.2269595 -20.94997679,-54.2270228 -20.95164032,-54.22700348 -20.95207741,-54.22696845 -20.9522943,-54.22485432 -20.95613356,-54.22334062 -20.95719489,-54.22153374 -20.95822439,-54.22032592 -20.95853504,-54.22046152 -20.96103564,-54.2209401 -20.96494747,-54.23154839 -20.96818481,-54.2320325 -20.96826956,-54.23224233 -20.96761607,-54.23221247 -20.96722113,-54.23153029 -20.96581373,-54.23072728 -20.96449911,-54.23119022 -20.96343562,-54.23195967 -20.9622587,-54.23315801 -20.96236864,-54.23386434 -20.96186492,-54.2337595 -20.96172082,-54.23362795 -20.96056797,-54.2332859 -20.959375,-54.23293815 -20.9583026,-54.23292418 -20.95729078,-54.23411845 -20.95579519,-54.23449371 -20.95525906,-54.23501256 -20.9551616,-54.23556367 -20.95527541,-54.23583671 -20.95538647,-54.23607393 -20.95538291,-54.23663195 -20.95327813,-54.2372129 -20.95261389,-54.23756639 -20.95231891,-54.23777354 -20.95159995,-54.23803432 -20.95079071,-54.23823199 -20.95041681,-54.2385715 -20.9499418,-54.23773881 -20.94952786,-54.2372044 -20.94947397,-54.23643074 -20.94981748,-54.23546359 -20.94955517,-54.23454813 -20.94900682,-54.23454525 -20.94897562,-54.23422274 -20.94858106,-54.23416643 -20.94802143,-54.23417229 -20.94795883,-54.23428461 -20.94746877,-54.23456001 -20.94707307,-54.23458072 -20.94674538,-54.23444023 -20.94600687,-54.23419235 -20.94573653,-54.23423222 -20.94630455,-54.23375156 -20.94704559,-54.23307812 -20.94716389,-54.23209803 -20.94675919,-54.2316334 -20.94611016)))"
7,104852841,"MULTIPOLYGON (((-49.32213409 -23.02007774,-49.32073934 -23.0203641,-49.3202029 -23.01960376,-49.32000978 -23.01963338,-49.31991322 -23.0207492,-49.31785328 -23.02108493,-49.31738121 -23.0219835,-49.31730611 -23.02237847,-49.31740267 -23.02423483,-49.31921585 -23.02355351,-49.32009561 -23.02335602,-49.32294948 -23.02281294,-49.32245595 -23.02047272,-49.32213409 -23.02007774)))"
8,104838047,"MULTIPOLYGON (((-53.43387019 -24.72777911,-53.43112361 -24.72045061,-53.43065154 -24.72006078,-53.42155349 -24.72232176,-53.42082393 -24.7232963,-53.42026603 -24.72380306,-53.42095267 -24.72407593,-53.42163932 -24.72341325,-53.42228305 -24.72399797,-53.42284095 -24.72384204,-53.42434298 -24.72555722,-53.42636001 -24.72793503,-53.43387019 -24.72777911)))"
9,104838025,"MULTIPOLYGON (((-53.42127654 -24.74428141,-53.41973158 -24.74307317,-53.4181008 -24.74326805,-53.41518256 -24.75036137,-53.41679188 -24.75125775,-53.42127654 -24.74428141)))"
10,104860517,"MULTIPOLYGON (((-53.95225449 -23.26701195,-53.9550129 -23.26750766,-53.95558015 -23.26577338,-53.95274346 -23.26537014,-53.9523507 -23.26625608,-53.95225449 -23.26701195)))"
